model,binary_f1,3class_f1,CLEAR_REPLY correct,AMBIVALENT correct,CLEAR_NON_REPLY correct
SVC,0.3,0.33185941043083905,30,120,1
LogisticRegression,0.2777777777777778,0.4064389644746787,30,122,5
LinearSVC,0.29292929292929293,0.3795647319031974,33,105,5
NaiveBayes,0.0,0.3729064403236069,27,121,4
