model,f1 score,CLEAR_REPLY,AMBIVALENT,CLEAR_NON_REPLY
SVC,0.4108078301626688,31,128,4
LogisticRegression,0.3919331055485073,24,122,7
LinearSVC,0.3673728944925952,21,132,4
NaiveBayes,0.26718547341115434,0,206,0
